Category,Pipeline ID,Pipeline,Purpose,Final output domain,Has Closing stage,Is baseline,Is grayscale finalist candidate,Images,Ridge coherence mean,Ridge coherence std,Local contrast mean,Local contrast std,Foreground/background separation proxy mean,Ridge coverage mean,Fragmentation mean,Small components mean,Ridge continuity mean,Runtime mean,Delta coherence vs P0 mean,Delta contrast vs P0 mean,Delta fragmentation vs P0 mean,Delta continuity vs P0 mean,Delta coherence vs CLAHE mean,Delta contrast vs CLAHE mean,Delta fragmentation vs CLAHE mean,Delta continuity vs CLAHE mean
Easy,B0,P0 only,neutral common-preprocessing control,grayscale,False,True,False,8,0.6567512899637222,0.09501334804625156,0.20194566063582897,0.030094885502543176,0.20194566063582897,0.36513328552246094,3.7866287180952156,3.25,23.950077379145185,0.00013367499923333526,0.0,0.0,0.0,0.0,-0.04201306402683258,-0.028937965631484985,0.553186216943103,0.2695346074116096
Easy,B1,P0 -> CLAHE,main M1 enhancement baseline from Direct24,grayscale,False,True,True,8,0.6987643539905548,0.08312279488309578,0.23088362626731396,0.024609922565788755,0.23088362626731396,0.3900775909423828,3.233442501152113,1.125,23.680542771733574,0.005444775000796653,0.04201306402683258,0.028937965631484985,-0.553186216943103,-0.2695346074116096,0.0,0.0,0.0,0.0
Easy,C1,P0 -> CLAHE -> Ordinary Gabor,measure exact trade-off of the Direct24 M2 coherence winner,grayscale,False,False,True,8,0.7230527773499489,0.06599696781615348,0.16969608701765537,0.015689424406783083,0.16969608701765537,0.34211158752441406,4.297317823161839,1.75,20.371147116025874,0.8732985749738873,0.06630148738622665,-0.0322495736181736,0.5106891050666232,-3.578930263119309,0.024288423359394073,-0.061187539249658585,1.0638753220097263,-3.3093956557077
Easy,C2,P0 -> CLAHE -> Coherence-Guided Directional Diffusion,test whether directional enhancement is more compatible with CLAHE than Ordinary Gabor,grayscale,False,False,True,8,0.7079493850469589,0.08269927233360855,0.21482757478952408,0.02042398486249927,0.21482757478952408,0.38470458984375,3.2844151462548665,1.625,23.13366975698888,0.28279016248416156,0.051198095083236694,0.012881914153695107,-0.502213571840349,-0.8164076221563035,0.009185031056404114,-0.01605605147778988,0.050972645102753955,-0.5468730147446939
Easy,C3,P0 -> CLAHE -> Total Variation Restoration,test CLAHE followed by the best Direct24 supporting restoration candidate,grayscale,False,False,True,8,0.7253255993127823,0.0807139871629978,0.21087080612778664,0.022859283467091287,0.21087080612778664,0.38590049743652344,3.308485764645723,1.625,23.240289608756683,0.013801274995785207,0.06857430934906006,0.008925145491957664,-0.4781429534494929,-0.7097877703885005,0.026561245322227478,-0.02001282013952732,0.07504326349361004,-0.4402531629768909
Easy,C4,P0 -> Total Variation Restoration -> CLAHE,explicit order test for restoration before local contrast enhancement,grayscale,False,False,True,8,0.745199978351593,0.06140091142051785,0.22140906192362309,0.024101169764445353,0.22140906192362309,0.38751220703125,3.2106692302470226,1.125,23.13836855270654,0.010207300016190857,0.08844868838787079,0.019463401287794113,-0.5759594878481932,-0.8117088264386416,0.04643562436103821,-0.009474564343690872,-0.02277327090509018,-0.542174219027032
Easy,C5,P0 -> CLAHE -> Coherence-Guided Directional Diffusion -> Closing,test whether morphology can repair ridge gaps after directional enhancement,morphology-assisted structural output,True,False,False,8,0.7079493850469589,0.08269927233360855,0.21482757478952408,0.02042398486249927,0.21482757478952408,0.3940277099609375,1.9385936832819861,0.875,28.594719204947733,0.33549596249940805,0.051198095083236694,0.012881914153695107,-1.8480350348132295,4.644641825802548,0.009185031056404114,-0.01605605147778988,-1.2948488178701267,4.914176433214158
Easy,C6,P0 -> CLAHE -> Total Variation Restoration -> Closing,test whether morphology improves continuity after CLAHE plus TV restoration,morphology-assisted structural output,True,False,False,8,0.7253255993127823,0.0807139871629978,0.21087080612778664,0.022859283467091287,0.21087080612778664,0.3933143615722656,2.122459613610754,0.875,27.23965254273718,0.06324252500780858,0.06857430934906006,0.008925145491957664,-1.6641691044844618,3.289575163591995,0.026561245322227478,-0.02001282013952732,-1.1109828875413588,3.559109771003605
Medium,B0,P0 only,neutral common-preprocessing control,grayscale,False,True,False,8,0.6547900214791298,0.08128773280385213,0.18812280893325806,0.03807344083747751,0.2142027742229402,0.39178972893143177,2.052553680378479,1.0,33.00229051240415,0.0001410375043633394,0.0,0.0,0.0,0.0,-0.047814369201660156,-0.03168472647666931,-0.007364517874111173,2.132890908649398
Medium,B1,P0 -> CLAHE,main M1 enhancement baseline from Direct24,grayscale,False,True,True,8,0.70260439068079,0.058068489998278155,0.21980753540992737,0.03521951548443963,0.21980753540992737,0.3888988494873047,2.05991819825259,0.625,30.869399603754754,0.00496112499240553,0.047814369201660156,0.03168472647666931,0.007364517874111173,-2.132890908649398,0.0,0.0,0.0,0.0
Medium,C1,P0 -> CLAHE -> Ordinary Gabor,measure exact trade-off of the Direct24 M2 coherence winner,grayscale,False,False,True,8,0.7349555566906929,0.03706619350508494,0.16133130714297295,0.024076391777928197,0.16133130714297295,0.33739471435546875,2.9999092840580346,0.625,25.255863447033352,0.8767661874881014,0.08016553521156311,-0.02679150179028511,0.9473556036795557,-7.746427065370802,0.032351166009902954,-0.05847622826695442,0.9399910858054445,-5.613536156721404
Medium,C2,P0 -> CLAHE -> Coherence-Guided Directional Diffusion,test whether directional enhancement is more compatible with CLAHE than Ordinary Gabor,grayscale,False,False,True,8,0.7108550369739532,0.05772393177629716,0.2037766631692648,0.03176069365450008,0.2037766631692648,0.3838996887207031,2.0923321288746672,0.875,29.688575242981152,0.29021901248779614,0.056065015494823456,0.015653854236006737,0.03977844849618829,-3.3137152694230023,0.0082506462931633,-0.016030872240662575,0.03241393062207712,-1.1808243607736042
Medium,C3,P0 -> CLAHE -> Total Variation Restoration,test CLAHE followed by the best Direct24 supporting restoration candidate,grayscale,False,False,True,8,0.7302623465657234,0.0510623580642153,0.20056061632931232,0.03196943952077896,0.20056061632931232,0.38583946228027344,2.1362062297044044,1.0,29.929300184847033,0.00977208749827696,0.07547232508659363,0.012437807396054268,0.08365254932592568,-3.07299032755712,0.02765795588493347,-0.019246919080615044,0.07628803145181451,-0.9400994189077219
Medium,C4,P0 -> Total Variation Restoration -> CLAHE,explicit order test for restoration before local contrast enhancement,grayscale,False,False,True,8,0.7583048567175865,0.03506142209106973,0.20982628501951694,0.03408176888327441,0.20982628501951694,0.3870983123779297,2.134781923799084,0.5,28.093067946407395,0.01068758748442633,0.10351483523845673,0.021703476086258888,0.0822282434206052,-4.9092225659967585,0.05570046603679657,-0.009981250390410423,0.07486372554649402,-2.77633165734736
Medium,C5,P0 -> CLAHE -> Coherence-Guided Directional Diffusion -> Closing,test whether morphology can repair ridge gaps after directional enhancement,morphology-assisted structural output,True,False,False,8,0.7108550369739532,0.05772393177629716,0.2037766631692648,0.03176069365450008,0.2037766631692648,0.3924121856689453,1.3068471065962353,0.75,36.987580816837884,0.34877601250627777,0.056065015494823456,0.015653854236006737,-0.7457065737822437,3.9852903044337338,0.0082506462931633,-0.016030872240662575,-0.7530710916563549,6.1181812130831315
